,0,1,2,3,4,5,6,label,sub_label,file_path
0,1889191.640710124,12423398.983563637,7425030.211321425,128989962.97593337,1792466.4722388885,1955332.4082900516,6814308.9987360025,PCR_Positive,Positive Ion count text files,Hippocampus/Files158Ion/PCR_Positive/Positive Ion count text files/Pos 1_IC.txt
1,689647.4323867304,6402734.143038639,641716.5590270737,289705.75071855204,60915.45713499631,49779.64880124785,40245.573862036545,PCR_Positive,Positive Ion count text files,Hippocampus/Files158Ion/PCR_Positive/Positive Ion count text files/Pos 50_IC.txt
2,3494442.717980983,19144880.099679556,1470154.0134405103,39876327.791641794,333935.8867825756,374421.8459909742,808226.771267526,PCR_Positive,Positive Ion count text files,Hippocampus/Files158Ion/PCR_Positive/Positive Ion count text files/Pos 43_IC.txt
3,7586540.732922783,12172467.959060362,9781924.058193762,42551771.51084776,5791967.437837612,4922381.171796278,5454294.582007531,PCR_Positive,Positive Ion count text files,Hippocampus/Files158Ion/PCR_Positive/Positive Ion count text files/Pos 59_IC.txt
4,17808987.548481897,8488998.768705938,21652922.369639806,127839607.8531041,4756655.176724482,3868398.605736797,4777951.696155842,PCR_Positive,Positive Ion count text files,Hippocampus/Files158Ion/PCR_Positive/Positive Ion count text files/Pos 56_IC.txt
5,3739924.733713319,4178597.396221723,22907192.765070554,105225209.64853075,3921115.6731845094,1269942.2243259307,2056544.876933562,PCR_Positive,Positive Ion count text files,Hippocampus/Files158Ion/PCR_Positive/Positive Ion count text files/Pos 9_IC.txt
6,4574680.074964715,6137122.421902995,3628819.058174275,45278891.41794106,1093298.0578328283,397113.6145615759,458722.3290173083,PCR_Positive,Positive Ion count text files,Hippocampus/Files158Ion/PCR_Positive/Positive Ion count text files/Pos 47_IC.txt
7,5211303.708475418,1308157.7777633225,21508361.760700718,352298673.4461321,1099789.0858991893,1057707.7379661063,20386287.96324287,PCR_Positive,Positive Ion count text files,Hippocampus/Files158Ion/PCR_Positive/Positive Ion count text files/Pos 36_IC.txt
8,29542.9012307678,3470420.085493169,2757799.9615700003,82108066.50726615,62817.237674738564,125615.86934339016,1492297.1793966945,PCR_Positive,Positive Ion count text files,Hippocampus/Files158Ion/PCR_Positive/Positive Ion count text files/Pos 51_IC.txt
9,9887061.348481448,7344877.219856888,1211570.0491698042,13561884.747529082,457273.29621072055,317212.03647499974,240162.43932739634,PCR_Positive,Positive Ion count text files,Hippocampus/Files158Ion/PCR_Positive/Positive Ion count text files/Pos 40_IC.txt
10,12264267.022972703,7696152.7252648445,9842793.562862618,147754123.12576288,2249312.690774495,1669284.1327446802,4390475.226070902,PCR_Positive,Positive Ion count text files,Hippocampus/Files158Ion/PCR_Positive/Positive Ion count text files/Pos 6_IC.txt
11,951809.2189510472,1565628.6800914903,36474143.21585293,545648441.0984013,2625937.7968462138,3332343.876862978,74864385.69139378,PCR_Positive,Positive Ion count text files,Hippocampus/Files158Ion/PCR_Positive/Positive Ion count text files/Pos 21_IC.txt
12,9294344.01178937,21654574.98835323,15439175.55013381,34025751.7084075,5639179.414116153,4323299.232556475,5775771.3817418255,PCR_Positive,Positive Ion count text files,Hippocampus/Files158Ion/PCR_Positive/Positive Ion count text files/Pos 60_IC.txt
