,0,1,2,3,4,5,6,label,sub_label,file_path
0,6403440.125372023,13539527.613305556,5513971.313416667,71107336.01916666,2453125.0544444444,1925542.3241666665,1284275.0323611111,PCR_Positive,Positive Ion count text files,Hippocampus/Files60Ion/PCR_Positive/Positive Ion count text files/Pos 28.txt
1,1341107.4871130954,6178337.529333334,10223012.583458332,197116625.37111112,12574708.333888886,3159487.6098611113,6186171.84125,PCR_Positive,Positive Ion count text files,Hippocampus/Files60Ion/PCR_Positive/Positive Ion count text files/Pos 3.txt
2,15625591.752931546,41113644.22916667,5579502.677999999,105091078.40326387,6767579.829444444,7520075.966944444,3823806.78625,PCR_Positive,Positive Ion count text files,Hippocampus/Files60Ion/PCR_Positive/Positive Ion count text files/Pos 13.txt
3,3870139.041294643,2189089.041,11468929.627208333,257222000.22277775,2034540.8927777777,1504065.238611111,9361286.422916666,PCR_Positive,Positive Ion count text files,Hippocampus/Files60Ion/PCR_Positive/Positive Ion count text files/Pos 5.txt
4,4646817.90233631,5211306.971666666,11963137.858000001,225105367.18000004,2487606.1297222218,1480673.9080555555,4278858.730416667,PCR_Positive,Positive Ion count text files,Hippocampus/Files60Ion/PCR_Positive/Positive Ion count text files/Pos 30.txt
5,8311104.173407735,42649240.46988887,100430198.52629165,832059261.7860416,31210201.54583333,30283238.874166664,80162113.54597221,PCR_Positive,Positive Ion count text files,Hippocampus/Files60Ion/PCR_Positive/Positive Ion count text files/Pos 14.txt
6,11831319.460133927,7678774.646416667,9840930.902291667,147747161.01458335,2248694.1027777777,1668702.5491666668,4389825.290694444,PCR_Positive,Positive Ion count text files,Hippocampus/Files60Ion/PCR_Positive/Positive Ion count text files/Pos 6.txt
7,26869593.72066964,10202152.863333331,32495989.404,330940678.67055553,10054368.92,8742368.29013889,16898158.01125,PCR_Positive,Positive Ion count text files,Hippocampus/Files60Ion/PCR_Positive/Positive Ion count text files/Pos 17.txt
8,4536305.394077381,17273876.2825,43431862.59108333,430927844.6016666,13594071.587777777,10780855.604027778,25307092.471249998,PCR_Positive,Positive Ion count text files,Hippocampus/Files60Ion/PCR_Positive/Positive Ion count text files/Pos 15.txt
9,878223.1548511904,1561772.6994999999,36470803.852875,545638715.7466667,2625038.671111111,3331148.9381944444,74857005.18805555,PCR_Positive,Positive Ion count text files,Hippocampus/Files60Ion/PCR_Positive/Positive Ion count text files/Pos 21.txt
10,322723.8120535714,2968551.319666667,5276438.347375,108074295.07590276,7286941.667222222,666302.5398611111,935163.3508333333,PCR_Positive,Positive Ion count text files,Hippocampus/Files60Ion/PCR_Positive/Positive Ion count text files/Pos 7.txt
11,1547428.8922470238,706498.4216388889,72120088.29074998,810196903.5109721,4770213.298333334,4611529.8225,130894046.39930555,PCR_Positive,Positive Ion count text files,Hippocampus/Files60Ion/PCR_Positive/Positive Ion count text files/Pos 19.txt
12,1587251.6199107142,12150136.888055556,6901230.184458333,40504446.22895832,13270249.618888887,3639969.596666666,2872345.818055555,PCR_Positive,Positive Ion count text files,Hippocampus/Files60Ion/PCR_Positive/Positive Ion count text files/Pos 27.txt
13,1134277.3323511905,2393189.752333333,7356395.271708333,108486154.14701389,23286313.675277773,1835468.9345833333,1851531.2272222221,PCR_Positive,Positive Ion count text files,Hippocampus/Files60Ion/PCR_Positive/Positive Ion count text files/Pos 24.txt
14,2285839.202410714,2694751.007166667,7129266.996208333,177300871.11680552,4160793.309166667,1748690.0444444446,8336401.96861111,PCR_Positive,Positive Ion count text files,Hippocampus/Files60Ion/PCR_Positive/Positive Ion count text files/Pos 8.txt
15,17167011.1840625,30153135.575472225,22527996.683666665,290918258.88979167,8173005.702500001,8380270.095972221,18349577.597916666,PCR_Positive,Positive Ion count text files,Hippocampus/Files60Ion/PCR_Positive/Positive Ion count text files/Pos 12.txt
16,6774062.122068453,9756892.893000001,27374821.97095833,404182887.8921528,4328447.104444445,6009479.368333333,33089507.492916662,PCR_Positive,Positive Ion count text files,Hippocampus/Files60Ion/PCR_Positive/Positive Ion count text files/Pos 10.txt
17,14291115.769940475,13889254.246166667,11109324.26675,145773903.38215277,7211758.207499999,3331823.2831944446,2478022.455,PCR_Positive,Positive Ion count text files,Hippocampus/Files60Ion/PCR_Positive/Positive Ion count text files/Pos 26.txt
